Keyword,Short Name,Unit,Source
ALIM_CODE,food_code,,CALNUT2020_2020_07_20
FOOD_LABEL,food_label,,CALNUT2020_2020_07_20
acides_organiques_g,organic_acids,g,CALNUT2020_2020_07_20
ag_04_0_g,40_fatty_acids,g,CALNUT2020_2020_07_20
ag_06_0_g,60_fatty_acids,g,CALNUT2020_2020_07_20
ag_08_0_g,80_fatty_acids,g,CALNUT2020_2020_07_20
ag_10_0_g,100_fatty_acids,g,CALNUT2020_2020_07_20
ag_12_0_g,120_fatty_acids,g,CALNUT2020_2020_07_20
ag_14_0_g,140_fatty_acids,g,CALNUT2020_2020_07_20
ag_16_0_g,160_fatty_acids,g,CALNUT2020_2020_07_20
ag_18_0_g,180_fatty_acids,g,CALNUT2020_2020_07_20
ag_18_1_ole_g,181_oleic_acid,g,CALNUT2020_2020_07_20
ag_18_2_lino_g,182_linoleic_acid,g,CALNUT2020_2020_07_20
ag_18_3_a_lino_g,183_alpha-linolenic_acid,g,CALNUT2020_2020_07_20
ag_20_4_ara_g,204_arachidonic_acid,g,CALNUT2020_2020_07_20
ag_20_5_epa_g,205_epa,g,CALNUT2020_2020_07_20
ag_20_6_dha_g,206_dha,g,CALNUT2020_2020_07_20
agmi_g,monounsaturated_fatty_acids,g,CALNUT2020_2020_07_20
agpi_g,polyunsaturated_fatty_acids,g,CALNUT2020_2020_07_20
ags_g,saturated_fatty_acids,g,CALNUT2020_2020_07_20
alcool_g,alcohol,g,CALNUT2020_2020_07_20
amidon_g,starch,g,CALNUT2020_2020_07_20
beta_carotene_mcg,beta-carotene,mcg,CALNUT2020_2020_07_20
calcium_mg,calcium,mg,CALNUT2020_2020_07_20
cholesterol_mg,cholesterol,mg,CALNUT2020_2020_07_20
cuivre_mg,copper,mg,CALNUT2020_2020_07_20
eau_g,water,g,CALNUT2020_2020_07_20
fer_mg,iron,mg,CALNUT2020_2020_07_20
fibres_g,fiber,g,CALNUT2020_2020_07_20
fructose_g,fructose,g,CALNUT2020_2020_07_20
galactose_g,galactose,g,CALNUT2020_2020_07_20
glucides_g,carbohydrates,g,CALNUT2020_2020_07_20
glucose_g,glucose,g,CALNUT2020_2020_07_20
iode_mcg,iodine,mcg,CALNUT2020_2020_07_20
lactose_g,lactose,g,CALNUT2020_2020_07_20
lipides_g,lipids,g,CALNUT2020_2020_07_20
magnesium_mg,magnesium,mg,CALNUT2020_2020_07_20
maltose_g,maltose,g,CALNUT2020_2020_07_20
manganese_mg,manganese,mg,CALNUT2020_2020_07_20
nrj_kcal,energy,kcal,CALNUT2020_2020_07_20
nrj_kj,energy_kj,kJ,CALNUT2020_2020_07_20
phosphore_mg,phosphorus,mg,CALNUT2020_2020_07_20
polyols_g,polyols,g,CALNUT2020_2020_07_20
