agb_code,lci_name,ciqual_code,energy_kj,energy,water,proteins,carbohydrates,lipids,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,starch,fiber,polyols,alcohol,organic_acids,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,40_fatty_acids,60_fatty_acids,80_fatty_acids,100_fatty_acids,120_fatty_acids,140_fatty_acids,160_fatty_acids,180_fatty_acids,181_oleic_acid,182_linoleic_acid,183_alpha-linolenic_acid,204_arachidonic_acid,205_epa,206_dha,cholesterol,salt,calcium,copper,iron,iodine,magnesium,manganese,phosphorus,potassium,selenium,sodium,zinc,retinol,beta-carotene,vitamin_d,vitamin_e,vitamin_k1,vitamin_k2,vitamin_c,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b9,vitamin_b12,source,is_energy_recalculated
11172,"Aromatic stock cube, for fish, dehydrated",11172,10800.0,2600.0,,50.0,70.0,230.0,45.0,,,,,,,,25.0,0.0,0.0,0.0,160.0,,,,,,,,,,,,,,,,,,475.0,,,,,,,,,,190000.0,,,,,,,,,,,,,,,,CIQUAL2020_2020_07_07_edited,False
25525,Topping sauce for pizza,25525,1610.0,385.0,874.0,21.200000000000003,32.0,7.3,32.0,17.4,,14.6,2.0,2.0,4.0,,41.7,0.0,0.0,8.0,1.0,1.5,3.2,0.0025,0.0025,0.0025,0.0023,0.0036000000000000003,0.016999999999999998,,0.31,1.0,2.3000000000000003,0.74,0.0025,0.0025,0.0025,0.0,5.8999999999999995,500.0,,9.0,,180.0,,290.0,9080.0,,2340.0,,0.0,,0.0,29.0,,,70.0,0.7000000000000001,0.5,11.299999999999999,4.0,1.5,220.0,0.0,CIQUAL2020_2020_07_07_edited,False
11214,"Soy ""cream"" preparation",11214,6402.0,1530.0,785.0,32.5,20.299999999999997,147.0,16.0,2.0,,2.0,2.0,2.0,16.0,3.5,,5.0,0.0,1.3,16.5,48.6,74.6,0.1,0.1,0.1,0.1,0.1,0.1,10.2,4.4,46.3,71.5,3.1,0.1,0.1,0.1,,0.63,160.0,1.1,4.699999999999999,200.0,190.0,1.7999999999999998,620.0,1300.0,200.0,250.0,3.7,,50.0,2.5,53.099999999999994,62.800000000000004,,,0.2,0.1,1.0,1.4000000000000001,0.48,165.0,,CIQUAL2020_2020_07_07_edited,True
11084,"Seaweed, agar, raw",11084,1210.0,285.0,913.0,5.4,62.5,0.3,2.8000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.2,0.06,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.22999999999999998,540.0,0.61,18.6,0.0,670.0,3.7,50.0,2260.0,0.0,90.0,5.8,0.0,0.0,0.0,8.7,23.0,0.0,0.0,0.0,0.21999999999999997,0.55,3.0,0.32,850.0,0.05,CALNUT2020_2020_07_07,
20995,"Sea lettuce (Enteromorpha sp.), dried or dehydrated",20995,9320.0,2240.0,76.5,137.0,188.0,24.700000000000003,,,,,,,,,360.0,0.0,0.0,0.0,2.3000000000000003,1.7999999999999998,2.5,,,,,,,,,,,,,,,,119.0,16100.0,12.1,2340.0,93900.0,24400.0,247.0,10400.0,18500.0,107.0,47600.0,60.8,,,0.0,110.0,,,354.0,2.9,11.0,47.699999999999996,,,396.0,306.0,CIQUAL2020_2020_07_07_edited,False
20998,"North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated",20998,8740.0,2110.0,108.0,72.2,185.0,27.799999999999997,,,,,,,,,418.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,71.5,16500.0,7.199999999999999,218.0,682000.0,8360.0,25.2,1620.0,22700.0,66.9,28600.0,64.5,,37300.0,8.9,140.0,10200.0,,948.0,3.1,9.6,27.400000000000002,0.18,56.1,227.0,21.099999999999998,CIQUAL2020_2020_07_07_edited,False
20988,"Dulse (Palmaria palmata), dried or dehydrated",20988,9490.0,2270.0,67.2,172.0,226.0,13.3,,,,,,,,,280.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,41.5,5470.0,11.0,348.0,325000.0,2410.0,121.0,2800.0,68100.0,89.5,16600.0,41.7,,157000.0,9.3,34.5,4200.0,,836.0,3.7,4.8,43.099999999999994,4.0,0.13,920.0,98.10000000000001,CIQUAL2020_2020_07_07_edited,False
20994,"Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated",20994,7990.0,1940.0,116.0,74.1,157.0,13.3,,,,,,,,,446.0,0.0,0.0,0.0,3.5,2.0,3.0,,,,,,,,,,,,,,,,101.0,11700.0,4.0,147.0,400000.0,8850.0,83.4,,32700.0,884.0,40200.0,81.89999999999999,,124000.0,,122.0,,,,,,16.7,,,,,CIQUAL2020_2020_07_07_edited,False
20993,"Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated",20993,10100.0,2430.0,84.0,165.0,188.0,35.4,,,,,,,,,350.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,78.0,12900.0,4.2,197.0,4940000.0,4120.0,1040.0,1770.0,58500.0,64.1,31200.0,33.3,,,,,,,,,,,,,,,CIQUAL2020_2020_07_07_edited,False
20992,"Sea thong (Himanthalia elongata), dried or dehydrated",20992,9980.0,2390.0,80.9,101.0,283.0,26.299999999999997,,,,,,,,,310.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,92.2,7120.0,2.3000000000000003,25.299999999999997,144000.0,16200.0,27.599999999999998,1040.0,59700.0,62.5,36900.0,45.5,,66200.0,2.8000000000000003,55.0,,,628.0,2.7,4.6000000000000005,,,,607.0,,CIQUAL2020_2020_07_07_edited,False
